Date;Temperature
07/10/2018 05:00;286.05
08/10/2018 05:00;285.15
21/09/2018 20:00;290.75
22/09/2018 08:00;284.05
17/09/2018 05:00;287.65
23/09/2018 20:00;293.65
19/09/2018 20:00;296.75
20/11/2018 19:00;275.15
21/11/2018 19:00;280.65
22/11/2018 01:00;280.55
15/11/2018 10:00;286.05
25/11/2018 01:00;281.75
26/11/2018 07:00;278.45
11/12/2018 10:00;278.15
12/09/2018 11:00;299.45
09/09/2018 14:00;300.25
01/09/2018 02:00;287.65
01/09/2018 11:00;294.45
22/10/2018 05:00;283.65
21/12/2018 04:00;284.65
23/12/2018 01:00;286.55
25/09/2018 05:00;283.85
04/10/2018 08:00;285.15
29/10/2018 19:00;278.55
04/11/2018 22:00;283.45
01/11/2018 22:00;284.25
09/01/2018 01:00;278.95
12/01/2018 04:00;273.65
13/01/2018 01:00;277.35
13/01/2018 04:00;277.05
02/02/2018 04:00;274.55
25/01/2018 13:00;283.65
26/01/2018 16:00;283.65
30/03/2018 08:00;280.65
24/03/2018 19:00;283.05
22/03/2018 01:00;275.25
27/03/2018 11:00;285.25
01/08/2018 02:00;292.45
21/07/2018 02:00;291.85
03/08/2018 05:00;294.25
25/07/2018 11:00;298.05
05/08/2018 05:00;296.25
16/03/2018 04:00;281.05
10/03/2018 19:00;289.15
05/03/2018 10:00;281.85
06/03/2018 01:00;279.95
05/06/2018 11:00;291.45
01/06/2018 14:00;295.25
27/05/2018 05:00;288.45
25/05/2018 17:00;294.75
28/02/2018 01:00;269.65
03/03/2018 01:00;281.85
26/02/2018 13:00;276.05
19/05/2018 17:00;296.55
08/05/2018 05:00;287.55
14/05/2018 20:00;285.75
12/05/2018 02:00;286.35
20/05/2018 20:00;297.45
13/02/2018 22:00;276.15
17/02/2018 10:00;284.05
11/02/2018 04:00;279.25
07/02/2018 10:00;273.85
10/02/2018 04:00;272.75
15/02/2018 01:00;285.65
16/02/2018 04:00;284.15
05/02/2018 10:00;275.65
05/02/2018 22:00;274.65
09/04/2018 05:00;283.95
09/04/2018 17:00;286.95
06/04/2018 02:00;283.75
13/07/2018 23:00;297.45
14/07/2018 05:00;294.45
16/07/2018 05:00;290.65
16/07/2018 23:00;293.55
18/07/2018 02:00;291.95
12/07/2018 20:00;299.45
07/07/2018 20:00;302.85
17/06/2018 05:00;288.55
18/06/2018 08:00;289.25
22/06/2018 17:00;298.75
22/06/2018 23:00;293.45
01/07/2018 05:00;293.35
02/07/2018 08:00;293.15
21/04/2018 02:00;288.55
01/05/2018 08:00;281.05
01/05/2018 11:00;284.75
29/04/2018 14:00;286.65
18/08/2018 23:00;292.35
22/08/2018 14:00;304.85
10/08/2018 08:00;287.25
20/10/2018 02:00;286.95
16/10/2018 02:00;285.75
22/10/2018 17:00;293.05
22/10/2018 20:00;289.45
30/10/2018 16:00;287.05
30/10/2018 07:00;276.55
